IControl prefs:  border width: 18, border height: 18
IControl prefs:  title height: 16, Window height: 18
IControl prefs:  volume guage width: 19
screen width: 1024
Screen height: 768
entry Processing directory: PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T
Formatting actual folder - not a slove folder
screen width: 1024
windowWidth: 320
Dumping Icon Array of 267 icons, max width is 166px
Icon 69: Width = 42, Height = 42, Text Width = 92, Text Height = 13, Max Width = 92, Max Height = 57, x = 399, y = 2623, Text = TrainedAssassin.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrainedAssassin.info
Icon 70: Width = 42, Height = 42, Text Width = 75, Text Height = 13, Max Width = 75, Max Height = 57, x = 231, y = 2623, Text = TradersNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TradersNTSC.info
Icon 71: Width = 42, Height = 42, Text Width = 58, Text Height = 13, Max Width = 58, Max Height = 57, x = 64, y = 2623, Text = TradersDe.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TradersDe.info
Icon 72: Width = 42, Height = 42, Text Width = 42, Text Height = 13, Max Width = 42, Max Height = 57, x = 776, y = 2556, Text = Tracker.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Tracker.info
Icon 73: Width = 42, Height = 42, Text Width = 40, Text Height = 13, Max Width = 42, Max Height = 57, x = 600, y = 2556, Text = TRacer.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TRacer.info
Icon 74: Width = 42, Height = 42, Text Width = 80, Text Height = 13, Max Width = 80, Max Height = 57, x = 405, y = 2556, Text = ToyottesImage.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/ToyottesImage.info
Icon 75: Width = 42, Height = 42, Text Width = 74, Text Height = 13, Max Width = 74, Max Height = 57, x = 232, y = 2556, Text = ToyottesFiles.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/ToyottesFiles.info
Icon 76: Width = 42, Height = 42, Text Width = 118, Text Height = 13, Max Width = 118, Max Height = 57, x = 34, y = 2556, Text = ToyotaCelicaGTRally.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/ToyotaCelicaGTRally.info
Icon 77: Width = 42, Height = 42, Text Width = 136, Text Height = 13, Max Width = 136, Max Height = 57, x = 729, y = 2489, Text = TownWithNoNameCDTV.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TownWithNoNameCDTV.info
Icon 78: Width = 42, Height = 42, Text Width = 109, Text Height = 13, Max Width = 109, Max Height = 57, x = 566, y = 2489, Text = TowerTopplerNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TowerTopplerNTSC.info
Icon 79: Width = 42, Height = 42, Text Width = 105, Text Height = 13, Max Width = 105, Max Height = 57, x = 392, y = 2489, Text = TowerOfSoulsAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TowerOfSoulsAGA.info
Icon 80: Width = 42, Height = 42, Text Width = 79, Text Height = 13, Max Width = 79, Max Height = 57, x = 229, y = 2489, Text = TowerOfBabel.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TowerOfBabel.info
Icon 81: Width = 42, Height = 42, Text Width = 87, Text Height = 13, Max Width = 87, Max Height = 57, x = 49, y = 2489, Text = TournamentGolf.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TournamentGolf.info
Icon 82: Width = 42, Height = 42, Text Width = 95, Text Height = 13, Max Width = 95, Max Height = 57, x = 749, y = 2422, Text = TotalRecallImage.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TotalRecallImage.info
Icon 83: Width = 42, Height = 42, Text Width = 89, Text Height = 13, Max Width = 89, Max Height = 57, x = 576, y = 2422, Text = TotalRecallFiles.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TotalRecallFiles.info
Icon 84: Width = 42, Height = 42, Text Width = 72, Text Height = 13, Max Width = 72, Max Height = 57, x = 409, y = 2422, Text = TotalFootball.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TotalFootball.info
Icon 85: Width = 42, Height = 42, Text Width = 101, Text Height = 13, Max Width = 101, Max Height = 57, x = 218, y = 2422, Text = TotalEclipseNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TotalEclipseNTSC.info
Icon 86: Width = 42, Height = 42, Text Width = 68, Text Height = 13, Max Width = 68, Max Height = 57, x = 59, y = 2422, Text = TotalEclipse.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TotalEclipse.info
Icon 87: Width = 42, Height = 42, Text Width = 102, Text Height = 13, Max Width = 102, Max Height = 57, x = 746, y = 2355, Text = TotalCarnageAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TotalCarnageAGA.info
Icon 88: Width = 42, Height = 42, Text Width = 99, Text Height = 13, Max Width = 99, Max Height = 57, x = 571, y = 2355, Text = TorvakTheWarrior.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TorvakTheWarrior.info
Icon 89: Width = 42, Height = 42, Text Width = 122, Text Height = 13, Max Width = 122, Max Height = 57, x = 384, y = 2355, Text = TornadoGroundAttack.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TornadoGroundAttack.info
Icon 90: Width = 42, Height = 42, Text Width = 73, Text Height = 13, Max Width = 73, Max Height = 57, x = 232, y = 2355, Text = TornadoAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TornadoAGA.info
Icon 91: Width = 42, Height = 42, Text Width = 46, Text Height = 13, Max Width = 46, Max Height = 57, x = 70, y = 2355, Text = Tornado.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Tornado.info
Icon 92: Width = 42, Height = 42, Text Width = 72, Text Height = 13, Max Width = 72, Max Height = 57, x = 761, y = 2288, Text = TopWrestling.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TopWrestling.info
Icon 93: Width = 42, Height = 42, Text Width = 57, Text Height = 13, Max Width = 57, Max Height = 57, x = 592, y = 2288, Text = TopSecret.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TopSecret.info
Icon 94: Width = 42, Height = 42, Text Width = 87, Text Height = 13, Max Width = 87, Max Height = 57, x = 401, y = 2288, Text = TopGear2CD32.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TopGear2CD32.info
Icon 95: Width = 42, Height = 42, Text Width = 82, Text Height = 13, Max Width = 82, Max Height = 57, x = 228, y = 2288, Text = TopGear2AGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TopGear2AGA.info
Icon 96: Width = 42, Height = 42, Text Width = 55, Text Height = 13, Max Width = 55, Max Height = 57, x = 65, y = 2288, Text = TopGear2.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TopGear2.info
